产品包分类,产品包code,产品包名称,产品包单价（元）,产品包结算价,2025年度6月 新增订购（单）,"2025年度6月 流水（元）
（单价×新增订购）","2025年度6月 收入（元）
（结算价×新增订购）",2025.6.10销量（单）,2025.6.11销量（单）,2025.6.12销量（单）,2024年度6月 新增订购（单）,"2024年度6月 流水（元）
（单价×新增订购）","2024年度6月 收入（元）
（结算价×新增订购）",2024.6.1销量（单）,2024.6.2销量（单）,2024.6.3销量（单）,2024.6.4销量（单）,2024.6.5销量（单）,2024.6.6销量（单）,2024.6.7销量（单）,2024.6.8销量（单）,2024.6.9销量（单）,2024.6.10销量（单）,2024.6.11销量（单）,2024.6.12销量（单）,2024.6.13销量（单）,2024.6.14销量（单）,2024.6.15销量（单）,2024.6.16销量（单）,2024.6.17销量（单）,2024.6.18销量（单）,2024.6.19销量（单）,2024.6.20销量（单）,2024.6.21销量（单）,2024.6.22销量（单）,2024.6.23销量（单）,2024.6.24销量（单）,2024.6.25销量（单）,2024.6.26销量（单）,2024.6.27销量（单）,2024.6.28销量（单）,2024.6.29销量（单）,2024.6.30销量（单）,订购环比增长量（单）,订购环比增长率,订购同比增长量（单）,订购同比增长率
影视类,khk31,酷好看实体包,0.0,12.0,79,0.0,948.0,0,34,45,4135,0,49620.0,73,61,61,79,73,84,98,181,203,158,114,115,105,122,173,149,100,93,128,111,170,223,156,110,110,146,220,262,273,184,-1089,-93.24%,-308,-79.59%
影视类,TXjgtv30,极光31天包,39.0,0.0,20,780.0,0.0,0,7,13,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169,-89.42%,20,∞
影视类,csykbq,酷喵31天包,39.0,0.0,8,312.0,0.0,0,4,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-123,-93.89%,8,∞
影视类,aqiy31,奇艺31天,39.0,0.0,7,273.0,0.0,0,4,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-116,-94.31%,7,∞
影视类,99500707,影视少儿包（20元）线下,20.0,0.0,1582,31640.0,0.0,0,804,778,54,1080,0.0,12,2,3,0,3,2,0,3,2,0,0,0,1,0,3,2,3,1,3,3,1,1,2,0,1,1,1,0,2,2,-3122,-66.37%,1582,2929.63%
影视类,99500757,极好看月包（线下）,29.0,0.0,3,87.0,0.0,0,2,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-86.96%,3,∞
影视类,99500758,奇好看月包（线下）,29.0,0.0,1,29.0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,-96.67%,1,∞
影视类,99500759,酷好看月包（线下）,29.0,0.0,1,29.0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-80.00%,1,∞
影视类,99500754,极好看年包（线下）,348.0,0.0,8,2784.0,0.0,0,6,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-131,-94.24%,8,∞
影视类,99500755,奇好看年包（线下）,348.0,0.0,4,1392.0,0.0,0,3,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-102,-96.23%,4,∞
